City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Antofagasta,90,CL,2020-04-01,82,-23.65,-70.4,64.4,6.934514000000001
Outjo,0,NA,2020-04-01,28,-20.12,16.15,84.2,3.35541
Plettenberg Bay,81,ZA,2020-04-01,69,-34.05,23.37,65.87600000000009,17.336285
Cabedelo,75,BR,2020-04-01,70,-6.98,-34.83,86.0,13.869028000000002
Kasane,40,BW,2020-04-01,38,-17.82,25.15,89.6,5.816044000000001
Maceió,75,BR,2020-04-01,79,-9.67,-35.74,84.2,8.052984
Itaobim,63,BR,2020-04-01,68,-16.57,-41.83,77.07200000000003,1.7448132000000003
Alta Floresta,95,BR,2020-04-01,100,-9.88,-56.09,78.80000000000001,1.11847
Mossamedes,77,AO,2020-04-01,59,-15.2,12.15,80.07800000000006,11.0057448
Geraldton,100,AU,2020-04-01,68,-28.77,114.6,71.99600000000005,13.869028000000002
Maracás,45,BR,2020-04-01,61,-13.44,-40.43,73.16600000000001,4.697574
Morros,93,BR,2020-04-01,61,-9.45,-46.3,80.40200000000007,10.4241404
Labuhan,81,ID,2020-04-01,76,-6.88,112.21,81.53600000000007,4.3844024
Río Gallegos,79,AR,2020-04-01,86,-51.62,-69.22,39.2,2.23694
Polewali,100,ID,2020-04-01,83,-3.43,119.34,77.77400000000002,2.8185444000000004
Hukuntsi,37,BW,2020-04-01,37,-24.0,21.75,80.6,2.3264176
Natal,20,BR,2020-04-01,79,-5.79,-35.21,84.2,9.171454
Vila Velha,75,BR,2020-04-01,88,-20.33,-40.29,80.99600000000005,3.35541
Kaeo,99,NZ,2020-04-01,92,-35.1,173.78,59.0,4.787051600000001
Manokwari,99,ID,2020-04-01,77,-0.87,134.08,81.01400000000004,4.809421
Córdoba,40,AR,2020-04-01,94,-31.41,-64.18,73.00400000000005,2.23694
Lüderitz,0,NA,2020-04-01,50,-26.65,15.16,75.2,16.105968
Vanimo,86,PG,2020-04-01,85,-2.67,141.3,81.30200000000008,9.2609316
Salinópolis,97,BR,2020-04-01,82,-0.61,-47.36,81.23000000000005,6.554234200000001
Yeppoon,0,AU,2020-04-01,83,-23.13,150.73,73.4,4.697574
Poya,80,NC,2020-04-01,85,-21.35,165.15,75.05600000000004,12.9966214
Vao,50,NC,2020-04-01,78,-22.67,167.48,74.75,15.255930800000002
Jacareacanga,90,BR,2020-04-01,88,-6.22,-57.75,78.80000000000001,2.23694
