City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Juneau,1,US,2020-04-01,78,58.3,-134.42,15.8,6.8674058
Nanortalik,92,GL,2020-04-01,82,60.14,-45.24,34.19600000000005,7.180577400000001
Mānsa,0,IN,2020-04-01,19,29.98,75.38,87.69200000000001,10.446509800000001
San Patricio,23,MX,2020-04-01,65,19.22,-104.7,73.184,2.0579848000000003
Torbay,90,CA,2020-04-01,93,47.67,-52.73,44.6,12.750558000000002
Koupéla,87,BF,2020-04-01,7,12.18,-0.35,108.30200000000008,16.978374600000002
Kilembe,39,UG,2020-04-01,28,0.2,30.0,82.058,6.487126
Puerto Carreño,66,CO,2020-04-01,53,6.19,-67.49,82.68800000000005,8.94776
Normandin,90,CA,2020-04-01,93,48.83,-72.53,32.0,5.816044000000001
Kavieng,100,PG,2020-04-01,78,-2.57,150.8,83.39000000000001,12.817666200000001
Bilibino,12,RU,2020-04-01,82,68.05,166.44,-6.429999999999943,2.2145706
Ranau,20,MY,2020-04-01,89,5.95,116.66,84.2,3.35541
Batemans Bay,67,AU,2020-04-01,90,-35.72,150.18,69.99800000000002,8.9924988
Yegorlykskaya,83,RU,2020-04-01,48,46.57,40.66,46.85,12.2360618
Cartagena,12,CO,2020-04-01,81,10.4,-75.51,77.54000000000002,4.5409882
Binabalian Ricor,3,PH,2020-04-01,78,16.42,119.93,82.47200000000004,16.777050000000003
Portland,90,US,2020-04-01,80,45.52,-122.68,41.0,8.052984
Talara,99,PE,2020-04-01,80,-4.58,-81.27,74.75,9.0148682
Caucaia,100,BR,2020-04-01,74,-3.74,-38.65,84.00200000000008,11.408394
Grand Gaube,75,MU,2020-04-01,79,-20.01,57.66,84.2,8.052984
Leshukonskoye,100,RU,2020-04-01,89,64.9,45.76,27.212000000000057,6.934514000000001
Laela,23,TZ,2020-04-01,53,-8.57,32.05,74.49800000000002,2.7066974
Tchaourou,99,BJ,2020-04-01,36,8.89,2.6,97.32200000000005,5.637088800000001
Marsabit,93,KE,2020-04-01,41,2.33,37.99,79.84400000000008,14.54011
Canutama,100,BR,2020-04-01,93,-6.53,-64.38,76.64000000000001,1.1632088
Kristinestad,19,FI,2020-04-01,77,62.27,21.38,36.338000000000044,11.989998400000001
Miles City,90,US,2020-04-01,92,46.41,-105.84,24.8,17.224438000000003
Xai-Xai,18,MZ,2020-04-01,63,-25.05,33.64,79.57400000000001,14.316416000000002
Mutatá,90,CO,2020-04-01,80,7.24,-76.44,76.316,0.3579104
Burnie,99,AU,2020-04-01,84,-41.07,145.92,60.00800000000001,4.0041226000000005
Les Mureaux,0,FR,2020-04-01,34,49.0,1.92,55.004000000000055,6.934514000000001
Arraial do Cabo,75,BR,2020-04-01,69,-22.97,-42.03,82.4,9.171454
